1,-12,5,-20,0;
2,-7,0,2,0;
3,-8,1,2,0;
4,-7,1,2,-1.5707963267948966;
5,-8,2,2,-1.5707963267948966;
6,-8,3,2,0;
7,2,1,0,-1.5707963267948966;
8,1,0,0,0;
9,5,0,0,-1.5707963267948966;
10,6,0,0,0;
11,6,1,0,-1.5707963267948966;
12,5,1,0,0;
13,5,2,0,-1.5707963267948966;
14,6,2,0,0;
15,-12,5,-20,0;
16,-12,5,-20,0;
17,-12,5,-20,0;
18,-12,5,-20,0;
19,-12,5,-20,0;
20,-12,5,-20,0;
21,-7,3,2,0;
22,-8,4,2,0;
23,2,2,0,-1.5707963267948966;
24,1,1,0,0;
25,-9.5,5,-20,0;
26,-9.5,5,-20,0;
27,-9.5,5,-20,0;
28,-9.5,5,-20,0;
29,-9.5,5,-20,0;
30,-9.5,5,-20,0;
31,-9.5,5,-20,0;
32,-9.5,5,-20,0;
33,-9.5,5,-20,0;
34,-9.5,5,-20,0;
35,-9.5,5,-20,0;
36,-9.5,5,-20,0;
37,-9.5,5,-20,0;
38,-9.5,5,-20,0;
39,-9.5,5,-20,0;
40,-9.5,5,-20,0;
41,5,3,0,0;
42,-7.5,5,-20,0;
43,-7.5,5,-20,0;
44,-7.5,5,-20,0;
45,-7.5,5,-20,0;
46,-7.5,5,-20,0;
47,-7.5,5,-20,0;
48,-7.5,5,-20,0;
49,-7.5,5,-20,0;
50,-7.5,5,-20,0;
51,-7.5,5,-20,0;
52,-7.5,5,-20,0;
53,-7.5,5,-20,0;
54,-7.5,5,-20,0;
55,-7.5,5,-20,0;
56,-7.5,5,-20,0;
57,-7.5,5,-20,0;
58,-7.5,5,-20,0;
59,-7.5,5,-20,0;
60,-7.5,5,-20,0;
61,-5,0,0,0;
62,-7,0,1,-1.5707963267948966;
63,-7,0,2,0;
64,-8,0,1,-1.5707963267948966;
65,-9,0,3,-1.5707963267948966;
66,2,0,0,0;
67,11.8,7,-20,0;
68,3,0,0,-3.141592653589793;
69,11.8,7,-20,0;
70,8,0,0,0;
71,6,0,0,0;
72,11.8,7,-20,0;
73,11.8,7,-20,0;
74,0,0,0,0;
75,11.8,7,-20,0;
76,11.8,7,-20,0;
77,11.8,7,-20,0;
78,11.8,7,-20,0;
79,11.8,7,-20,0;
80,11.8,7,-20,0;
81,14.5,7,-20,0;
82,14.5,7,-20,0;
83,14.5,7,-20,0;
84,14.5,7,-20,0;
85,14.5,7,-20,0;
86,14.5,7,-20,0;
87,14.5,7,-20,0;
88,14.5,7,-20,0;
89,14.5,7,-20,0;
90,14.5,7,-20,0;
91,14.5,7,-20,0;
92,14.5,7,-20,0;
93,14.5,7,-20,0;
94,14.5,7,-20,0;
95,14.5,7,-20,0;
96,14.5,7,-20,0;
97,14.5,7,-20,0;
98,14.5,7,-20,0;
99,14.5,7,-20,0;
100,14.5,7,-20,0;
101,-4,2,0,0;
102,-2,2,0,0;
103,0.3,5,-20,0;
104,0.3,5,-20,0;
105,0.3,5,-20,0;
106,-4,1,0,0;
107,-2,1,0,0;
108,2.3,5,-20,0;
109,2.3,5,-20,0;
110,2.3,5,-20,0;
111,-4,0,0,0;
112,-4,3,0,0;
113,-7,2,2,0;
114,-8,0,2,0;
115,-2,0,0,0;
116,-2,3,0,0;
117,3,0,0,0;
118,3,1,0,0;
119,3,2,0,0;
120,3,3,0,0;
121,2,0,0,0;
122,4.5,5,-20,0;
123,4.5,5,-20,0;
124,4.5,5,-20,0;
125,4.5,5,-20,0;
126,4.5,5,-20,0;
127,4.5,5,-20,0;
128,4.5,5,-20,0;
129,4.5,5,-20,0;
130,4.5,5,-20,0;
131,-4,4,0,0;
132,-2,4,0,0;
133,3,4,0,0;
134,-1.8,5,-20,0;
135,-1.8,5,-20,0;
136,-1.8,5,-20,0;
137,-1.8,5,-20,0;
138,-1.8,5,-20,0;
139,-1.8,5,-20,0;
140,-1.8,5,-20,0;
141,-2,5,0,0.7853981633974483;
142,-4,5,0,0.7853981633974483;
143,-2,4,0,0.7853981633974483;
144,-4,4,0,0.7853981633974483;
145,3,4,0,0.7853981633974483;
146,3,5,0,0.7853981633974483;
147,-4.5,5.75,-20,0.7853981633974483;
148,-4.5,5.75,-20,0.7853981633974483;
149,-4.5,5.75,-20,0.7853981633974483;
150,-4.5,5.75,-20,0.7853981633974483;
151,-3,0,0,0;
152,-9,0,5,-1.5707963267948966;
153,7.5,7,-20,0;
154,7.5,7,-20,0;
155,7.5,7,-20,0;
156,7.5,7,-20,0;
157,7.5,7,-20,0;
158,7.5,7,-20,0;
159,7.5,7,-20,0;
160,7.5,7,-20,0;
161,-9,0,6,0;
162,17.5,5,-20,0;
